"Amount.Requested","Amount.Funded.By.Investors","Interest.Rate","Loan.Length","Loan.Purpose","Debt.To.Income.Ratio","State","Home.Ownership","Monthly.Income","FICO.Range","Open.CREDIT.Lines","Revolving.CREDIT.Balance","Inquiries.in.the.Last.6.Months","Employment.Length"
"47705",8000,7925,"6.62%","36 months","credit_card","21.95%","IL","MORTGAGE",3666.67,"745-749",11,17907,1,"10+ years"
"48560",5000,5000,"12.12%","36 months","credit_card","11.08%","NJ","RENT",1833.33,"685-689",7,5408,0,"10+ years"
"56604",12800,12800,"14.65%","36 months","vacation","17.76%","TX","RENT",10000,"680-684",13,5792,1,"10+ years"
"54487",33000,33000,"7.62%","36 months","debt_consolidation","0.26%","NY","MORTGAGE",102750,"805-809",7,95435,0,"10+ years"
"27575",15000,15000,"6.99%","36 months","medical","6.64%","MO","MORTGAGE",9083.33,"810-814",12,1410,0,"10+ years"
"69095",5000,5000,"7.62%","36 months","debt_consolidation","17.10%","FL","RENT",1750,"725-729",7,8162,0,"4 years"
"9261",7000,7000,"14.22%","36 months","medical","7.04%","AZ","RENT",3010,"670-674",5,3047,2,"< 1 year"
"88031",13450,13450,"14.09%","36 months","debt_consolidation","12.93%","TX","MORTGAGE",3333.33,"685-689",5,5407,0,"1 year"
"73881",20375,20375,"14.09%","60 months","debt_consolidation","22.67%","CA","MORTGAGE",5416.67,"740-744",17,20980,2,"10+ years"
"62753",1200,1200,"15.80%","36 months","debt_consolidation","9.99%","FL","RENT",3833.33,"665-669",10,6520,1,"10+ years"
"88040",16000,15975,"6.03%","36 months","debt_consolidation","9.20%","FL","RENT",12750,"805-809",16,13690,1,"10+ years"
"65110",2000,2000,"14.33%","36 months","debt_consolidation","22.48%","MN","RENT",4333.33,"675-679",9,8496,1,"4 years"
"4587",11200,11150,"13.92%","36 months","home_improvement","18.07%","CT","MORTGAGE",2773.33,"680-684",6,6720,3,"5 years"
"93766",28000,28000,"7.62%","36 months","credit_card","12.19%","CA","RENT",11250,"730-734",10,40302,1,"10+ years"
"83592",28000,27950,"21.98%","60 months","debt_consolidation","16.56%","TX","MORTGAGE",10166.67,"680-684",12,43182,1,"4 years"
"2805",3000,2322.59,"15.05%","36 months","major_purchase","18.95%","OK","MORTGAGE",3466.67,"660-664",9,4285,3,"2 years"
"70589",7200,7200,"12.12%","36 months","credit_card","29.38%","CA","RENT",4166.67,"680-684",12,5165,0,"10+ years"
"21690",4600,4600,"5.42%","36 months","home_improvement","3.38%","OH","MORTGAGE",3664.25,"775-779",6,3127,0,"10+ years"
"29803",8000,8000,"6.99%","36 months","small_business","9.19%","CA","MORTGAGE",5833.33,"790-794",5,4469,2,"3 years"
"87162",20125,20125,"18.49%","36 months","credit_card","11.08%","NY","MORTGAGE",8937.5,"675-679",14,12418,0,"2 years"
"70443",19050,19050,"14.33%","60 months","debt_consolidation","11.08%","CA","MORTGAGE",5000,"740-744",16,19988,4,"3 years"
"28432",21850,21825,"18.79%","60 months","credit_card","20.32%","LA","RENT",4400,"680-684",7,9171,0,"4 years"
"13712",5000,5000,"10.38%","36 months","moving","19.10%","MA","RENT",4200,"715-719",7,1109,0,"3 years"
"84889",12000,12000,"15.31%","36 months","debt_consolidation","8.28%","MA","RENT",7750,"670-674",10,16132,0,"10+ years"
"40381",5800,5800,"6.03%","36 months","credit_card","6.98%","MA","RENT",5208.33,"760-764",7,4965,0,"4 years"
"39867",10000,10000,"11.71%","36 months","other","13.41%","NJ","RENT",5800,"710-714",9,4214,0,"3 years"
"75600",4800,4800,"7.90%","36 months","credit_card","17.34%","NC","MORTGAGE",6250,"705-709",7,4195,0,"10+ years"
"27623",8000,8000,"10.99%","36 months","debt_consolidation","17.12%","PA","RENT",2500,"705-709",13,7027,1,"3 years"
"69389",9750,9750,"16.29%","36 months","debt_consolidation","34.04%","TX","MORTGAGE",3119.92,"670-674",12,8774,1,"5 years"
"35351",4000,4000,"12.69%","36 months","major_purchase","1.34%","CA","RENT",9583.33,"705-709",8,5304,1,"2 years"
"29981",3000,3000,"10.99%","36 months","debt_consolidation","20.96%","CA","RENT",5583.33,"695-699",6,1531,2,"10+ years"
"74258",16000,16000,"15.80%","36 months","credit_card","11.35%","TX","RENT",5075,"690-694",15,22380,2,"3 years"
"3209",12000,11725,"9.63%","36 months","car","15%","GA","MORTGAGE",3000,"750-754",8,20328,0,"< 1 year"
"1364",7500,5795.24,"11.78%","36 months","home_improvement","17.72%","OR","MORTGAGE",2500,"690-694",7,6349,1,"4 years"
"68023",9600,9600,"7.90%","36 months","debt_consolidation","5.58%","AZ","MORTGAGE",6500,"725-729",8,23353,3,"6 years"
"64660",23850,23850,"22.95%","60 months","debt_consolidation","20.74%","TX","MORTGAGE",5000,"670-674",13,17587,1,"4 years"
"59812",6250,6250,"14.09%","36 months","debt_consolidation","19.70%","FL","RENT",4248.33,"680-684",9,9991,2,"< 1 year"
"14213",16750,16359.69,"7.88%","36 months","debt_consolidation","20.70%","TX","MORTGAGE",3778.67,"745-749",9,22352,0,"10+ years"
"34627",4000,4000,"12.69%","36 months","major_purchase","2.50%","CA","RENT",1600,"730-734",3,1295,3,"< 1 year"
"55924",23500,23500,"19.22%","36 months","credit_card","20.37%","WA","RENT",6800,"670-674",17,31812,3,"2 years"
"103315",3600,3575,"12.87%","36 months","educational","3.40%","FL","RENT",2000,"705-709",8,2650,4,"n/a"
"22700",1900,1900,"7.29%","36 months","other","23.05%","FL","RENT",2208.33,"725-729",11,8508,1,"3 years"
"51163",22500,22500,"7.90%","36 months","other","19.93%","IL","OWN",5208.33,"755-759",5,22876,0,"10+ years"
"27554",12000,12000,"8.49%","60 months","debt_consolidation","11.03%","GA","MORTGAGE",4425.17,"780-784",9,14816,0,"10+ years"
"34472",15000,15000,"12.69%","60 months","debt_consolidation","15.80%","NY","MORTGAGE",4500,"730-734",17,18592,2,"1 year"
"93022",32000,32000,"17.27%","36 months","other","9.96%","NH","MORTGAGE",19166.67,"705-709",8,66885,1,"5 years"
"49403",24000,24000,"24.20%","60 months","debt_consolidation","20.77%","VA","RENT",4583.33,"665-669",13,28399,1,"10+ years"
"78078",5500,5500,"15.80%","36 months","vacation","20.18%","CA","RENT",5416.67,"670-674",13,13079,3,"9 years"
"14052",7300,7300,"7.88%","36 months","credit_card","11.78%","FL","RENT",3090.5,"735-739",5,13459,0,"7 years"
"44471",25000,24975,"13.11%","60 months","debt_consolidation","28.15%","NY","RENT",7250,"740-744",14,19598,0,"6 years"
"76696",4575,4575,"11.14%","36 months","credit_card","21.33%","TX","OWN",1280,"690-694",8,9484,0,"< 1 year"
"7518",10000,10000,"14.96%","36 months","debt_consolidation","16.42%","FL","MORTGAGE",3416.67,"685-689",24,16591,0,"10+ years"
"37177",20000,19950,"15.96%","60 months","credit_card","23.54%","CA","MORTGAGE",5000,"705-709",10,20062,3,"10+ years"
"93253",11100,11100,"11.14%","36 months","credit_card","29.55%","NM","MORTGAGE",4000,"715-719",10,13410,3,"6 years"
"55625",17000,17000,"10.74%","60 months","debt_consolidation","11.12%","AL","MORTGAGE",4166.67,"760-764",10,19020,0,"10+ years"
"55934",12000,11975,"13.67%","36 months","debt_consolidation","17.05%","CA","RENT",2000,"675-679",6,7552,0,"10+ years"
"50756",24000,24000,"12.12%","36 months","wedding","22.66%","TX","RENT",8750,"715-719",12,29683,0,"9 years"
"90712",7000,7000,"17.77%","36 months","credit_card","8.02%","OK","RENT",6000,"690-694",5,6623,0,"10+ years"
"82079",10000,10000,"12.12%","36 months","debt_consolidation","20.16%","CA","RENT",5833.33,"695-699",16,25687,0,"4 years"
"47958",14000,14000,"6.62%","36 months","credit_card","28.82%","NY","RENT",4250,"745-749",16,1850,1,"8 years"
"77601",3250,3225,"7.62%","36 months","credit_card","3.12%","CA","RENT",2083.33,"745-749",6,2114,1,"3 years"
"82780",18000,18000,"11.14%","36 months","debt_consolidation","11.81%","FL","RENT",5100,"715-719",8,17139,0,"1 year"
"67401",19500,19500,"21.00%","36 months","debt_consolidation","26.84%","VA","MORTGAGE",5125,"660-664",11,29033,0,"10+ years"
"35797",5000,5000,"6.03%","36 months","debt_consolidation","29.86%","CA","OWN",2083.33,"785-789",12,22141,0,"n/a"
"34240",20000,20000,"17.58%","60 months","debt_consolidation","18.45%","OH","RENT",4250,"700-704",10,11805,0,"4 years"
"24846",6000,6000,"13.49%","36 months","debt_consolidation","19.68%","NJ","RENT",7500,"680-684",6,6686,1,"10+ years"
"63299",14300,14300,"14.09%","36 months","debt_consolidation","21.74%","DE","MORTGAGE",7750,"695-699",11,25213,2,"4 years"
"60580",12800,12800,"12.12%","36 months","credit_card","10.10%","NC","MORTGAGE",5000,"690-694",9,33085,0,"10+ years"
"68850",3000,2975,"7.90%","36 months","major_purchase","17.58%","LA","RENT",3458.33,"720-724",8,2999,0,"1 year"
"72217",25000,25000,"13.11%","36 months","debt_consolidation","18.36%","FL","MORTGAGE",14166.67,"705-709",21,96169,0,"10+ years"
"55800",18000,18000,"12.12%","36 months","credit_card","22.34%","MA","RENT",4583.33,"700-704",13,17868,0,"10+ years"
"86233",9750,9750,"15.31%","36 months","debt_consolidation","14.13%","MT","OWN",2518.67,"665-669",7,13209,0,"10+ years"
"39482",5000,5000,"12.42%","36 months","debt_consolidation","23.84%","SC","RENT",2500,"695-699",8,7980,2,"2 years"
"45494",4000,4000,"13.11%","36 months","car","22.15%","CO","RENT",2000,"685-689",16,1625,3,"< 1 year"
"46604",1200,1200,"7.90%","36 months","debt_consolidation","6.92%","CT","RENT",1300,"710-714",8,1775,0,"n/a"
"96371",12000,12000,"17.27%","36 months","debt_consolidation","20.07%","CA","RENT",5416.67,"660-664",7,3747,0,"< 1 year"
"34831",5000,5000,"16.29%","36 months","credit_card","9.79%","FL","OWN",1733.33,"665-669",11,4366,3,"< 1 year"
"54689",21700,21700,"7.90%","36 months","debt_consolidation","5.43%","CA","MORTGAGE",15000,"780-784",5,128707,0,"2 years"
"73287",21850,21850,"16.29%","60 months","debt_consolidation","32.13%","GA","MORTGAGE",4628,"715-719",17,32103,1,"10+ years"
"10206",12000,12000,"11.36%","36 months","home_improvement","14.57%","MA","MORTGAGE",5833.33,"705-709",7,2701,0,"9 years"
"95580",7000,7000,"18.49%","36 months","other","16.15%","FL","MORTGAGE",4166.67,"675-679",7,4167,0,"10+ years"
"101205",32000,32000,"23.76%","60 months","moving","8.14%","NC","MORTGAGE",16666.67,"700-704",5,50330,2,"8 years"
"35682",13000,13000,"14.27%","60 months","debt_consolidation","18.08%","WA","RENT",3302,"720-724",5,15076,3,"4 years"
"43071",12000,12000,"12.42%","36 months","credit_card","13.99%","AZ","MORTGAGE",2916.67,"680-684",10,13576,0,"5 years"
"41739",25475,25375,"19.03%","60 months","debt_consolidation","21.98%","FL","RENT",5000.67,"680-684",17,24081,1,"< 1 year"
"72931",10000,10000,"11.14%","36 months","credit_card","25.80%","CA","RENT",2833.33,"700-704",8,6521,0,"7 years"
"45317",5000,5000,"12.12%","36 months","other","24.74%","TX","MORTGAGE",8416.67,"695-699",20,58836,1,"< 1 year"
"12277",10000,9725,"7.51%","36 months","debt_consolidation","18.72%","MA","MORTGAGE",4300,"760-764",15,24413,1,"10+ years"
"79495",4000,4000,"14.33%","36 months","debt_consolidation","25.86%","OH","MORTGAGE",3333.33,"675-679",12,19443,1,"9 years"
"11875",8000,8000,"10.38%","36 months","debt_consolidation","1.82%","CA","RENT",2800,"720-724",5,2186,0,"3 years"
"33968",35000,35000,"10.65%","36 months","debt_consolidation","8.96%","MD","MORTGAGE",18750,"735-739",13,18528,3,"6 years"
"735",9000,7650,"11.03%","36 months","credit_card","12.72%","MI","MORTGAGE",5666.67,"685-689",22,36164,1,"8 years"
"43702",9000,9000,"6.03%","36 months","debt_consolidation","5.87%","NY","MORTGAGE",8333.33,"775-779",9,1717,0,"1 year"
"99006",24000,24000,"17.27%","60 months","debt_consolidation","20.55%","GA","OWN",6250,"675-679",10,17780,0,"7 years"
"84307",18000,18000,"13.11%","60 months","debt_consolidation","17%","CT","RENT",7083.33,"750-754",8,2234,2,"6 years"
"21504",4000,4000,"13.80%","60 months","major_purchase","13.26%","FL","OWN",3500,"695-699",5,8518,1,"3 years"
"96798",15000,15000,"6.62%","36 months","debt_consolidation","3.23%","NJ","MORTGAGE",6250,"755-759",8,13131,0,"n/a"
"83586",6075,6075,"17.27%","36 months","debt_consolidation","20.25%","NY","OWN",2666.67,"660-664",15,7515,2,"< 1 year"
"30986",13800,13800,"17.49%","60 months","medical","1.68%","NY","RENT",4166.67,"710-714",3,2766,0,"8 years"
"37090",10000,10000,"18.64%","60 months","debt_consolidation","12.19%","CA","RENT",6800,"700-704",24,8311,1,"4 years"
"103512",8000,7725,"10.99%","36 months","credit_card","13.40%","FL","MORTGAGE",7000,"735-739",3,175087,1,"10+ years"
"57472",15000,15000,"17.27%","36 months","debt_consolidation","33.30%","WY","RENT",3000,"670-674",20,15092,0,"10+ years"
"90568",4800,4800,"6.62%","36 months","car","10.42%","TX","MORTGAGE",7291.67,"815-819",14,0,0,"< 1 year"
"17240",24250,17431.82,"12.23%","60 months","credit_card","23.79%","OH","MORTGAGE",5833.33,"730-734",6,31061,2,"10+ years"
"15315",7000,6975,"6.91%","36 months","vacation","21.23%","CA","RENT",3000,"715-719",12,10784,1,"5 years"
"60875",10500,10500,"12.12%","36 months","major_purchase","5.42%","NY","RENT",5000,"700-704",4,502,0,"2 years"
"74855",25000,24950,"21.49%","60 months","debt_consolidation","23.79%","NV","MORTGAGE",5666.67,"690-694",8,27699,1,"8 years"
"61143",21000,21000,"14.33%","60 months","debt_consolidation","6.16%","OH","MORTGAGE",8333.33,"715-719",10,22196,0,"10+ years"
"103140",14400,14400,"14.26%","36 months","debt_consolidation","24.41%","PA","MORTGAGE",5833.33,"685-689",9,25515,5,"8 years"
"49664",9600,9600,"10.74%","36 months","debt_consolidation","8.62%","MA","RENT",3458.33,"720-724",4,8915,0,"10+ years"
"17864",12000,12000,"8.88%","60 months","credit_card","19.38%","MT","MORTGAGE",4000,"795-799",7,143151,0,"4 years"
"14831",10000,10000,"11.86%","36 months","major_purchase","11.15%","GA","OWN",13333,"705-709",12,36672,2,"1 year"
"35303",4000,4000,"14.65%","36 months","moving","22.38%","CA","RENT",4000,"665-669",10,18833,2,"< 1 year"
"94468",20000,20000,"21.49%","36 months","debt_consolidation","19.10%","FL","RENT",6000,"665-669",7,21202,2,"10+ years"
"100313",31300,31300,"22.95%","60 months","debt_consolidation","34.06%","MD","OWN",5833.33,"665-669",11,25344,0,"5 years"
"74445",6900,6900,"7.90%","36 months","home_improvement","14.18%","MI","OWN",2750,"710-714",14,4087,0,"6 years"
"23377",30000,17982.94,"17.88%","60 months","wedding","24.36%","NY","RENT",5632.33,"690-694",10,24217,0,"5 years"
"32593",2000,2000,"12.42%","36 months","wedding","1.99%","NY","RENT",2518.75,"675-679",5,985,0,"7 years"
"41282",12000,12000,"7.90%","36 months","credit_card","13.18%","NJ","OWN",5833.33,"725-729",8,9866,0,"4 years"
"22718",3300,3300,"10.37%","36 months","small_business","5.47%","AL","RENT",3125,"690-694",8,2623,0,"7 years"
"86599",25000,25000,"14.33%","36 months","credit_card","14.92%","CA","MORTGAGE",10000,"695-699",16,46708,0,"10+ years"
"10917",6000,5950,"10.38%","36 months","debt_consolidation","6.61%","GA","RENT",2300,"720-724",5,4006,1,"2 years"
"101429",3250,3250,"21.00%","36 months","small_business","31.84%","OR","RENT",2858.33,"690-694",5,17662,0,"6 years"
"16221",16500,16175,"12.23%","60 months","home_improvement","6.41%","MA","MORTGAGE",5833.33,"715-719",8,30455,2,"< 1 year"
"79704",31000,31000,"21.00%","60 months","debt_consolidation","11.48%","NY","RENT",5833.33,"705-709",12,27120,0,"< 1 year"
"94981",4000,4000,"14.33%","36 months","debt_consolidation","2.95%","KS","MORTGAGE",2916.67,"750-754",2,2476,0,"10+ years"
"30378",6000,6000,"17.49%","36 months","moving","1.58%","MD","RENT",4416.67,"665-669",3,2426,2,"8 years"
"101294",7500,7500,"6.62%","36 months","debt_consolidation","13.13%","PA","MORTGAGE",9583.33,"710-714",20,22464,0,"4 years"
"30341",12000,11975,"8.49%","36 months","debt_consolidation","8.36%","CA","RENT",4500,"745-749",12,8422,0,"10+ years"
"99706",20000,20000,"18.49%","36 months","debt_consolidation","21.80%","CA","RENT",6666.67,"685-689",20,22990,6,"10+ years"
"80944",24000,24000,"22.47%","60 months","debt_consolidation","30.97%","VA","MORTGAGE",10104.17,"675-679",14,37686,0,"10+ years"
"54289",7500,7500,"19.99%","36 months","debt_consolidation","19.06%","CA","RENT",3348,"660-664",8,5322,0,"10+ years"
"101647",6250,900,"17.54%","36 months","debt_consolidation","19.85%","IN","RENT",2916.67,"655-659",17,17659,9,"< 1 year"
"21203",5000,4900,"6.92%","36 months","home_improvement","10.59%","TX","MORTGAGE",7083.33,"755-759",9,0,3,"1 year"
"18933",10000,10000,"10.74%","36 months","small_business","22.74%","NY","MORTGAGE",5416.67,"710-714",4,20143,1,"10+ years"
"17315",12000,11341.5,"6.91%","36 months","debt_consolidation","17.92%","WA","RENT",5200,"710-714",16,8182,0,"< 1 year"
"2987",7000,6775,"9.32%","36 months","debt_consolidation","8.34%","CA","RENT",5000,"745-749",6,3337,1,"< 1 year"
"28478",4000,4000,"7.49%","36 months","car","0.52%","CA","RENT",5416.67,"755-759",4,929,0,"1 year"
"66430",7800,7800,"13.11%","36 months","credit_card","15.56%","FL","MORTGAGE",5000,"680-684",8,12889,0,"5 years"
"40357",15000,15000,"15.27%","36 months","debt_consolidation","15.58%","WV","RENT",6666.67,"680-684",11,23226,1,"2 years"
"68833",14125,14125,"18.49%","36 months","debt_consolidation","8.10%","NY","RENT",3000,"670-674",6,8992,1,"10+ years"
"23553",8000,8000,"5.42%","36 months","credit_card","4.47%","CA","OWN",3936,"780-784",7,5235,0,"10+ years"
"29165",4325,4325,"7.49%","36 months","credit_card","5.47%","FL","MORTGAGE",3691.67,"715-719",9,5074,0,"10+ years"
"40616",15000,15000,"13.49%","36 months","car","9.73%","VA","RENT",3000,"705-709",9,7005,1,"4 years"
"63687",12000,12000,"10.16%","36 months","debt_consolidation","28.01%","NY","RENT",2916.67,"710-714",8,6913,0,"3 years"
"41195",6575,6575,"8.90%","36 months","debt_consolidation","4.39%","FL","MORTGAGE",7500,"710-714",5,6670,0,"8 years"
"78765",9000,9000,"10.16%","36 months","debt_consolidation","13.76%","CA","RENT",5166.67,"710-714",10,6490,0,"10+ years"
"15631",4500,4500,"8.88%","36 months","credit_card","7.07%","OR","MORTGAGE",5250,"710-714",10,9356,2,"9 years"
"9367",20000,19875,"10.25%","36 months","credit_card","13.38%","FL","MORTGAGE",10000,"750-754",14,25668,1,"8 years"
"9658",1950,1950,"13.11%","36 months","other","15.08%","CA","RENT",2600,"680-684",6,4100,1,"3 years"
"41411",35000,35000,"16.29%","36 months","debt_consolidation","17.17%","NY","MORTGAGE",39583.33,"705-709",14,55965,2,"10+ years"
"92344",8000,8000,"14.09%","36 months","credit_card","16.22%","OK","RENT",4166.67,"675-679",12,16838,0,"5 years"
"25040",15000,15000,"10.59%","36 months","medical","7.55%","CA","RENT",8750,"740-744",6,6056,1,"9 years"
"20709",5650,5650,"7.66%","36 months","debt_consolidation","16.49%","GA","MORTGAGE",5100,"700-704",6,9863,0,"1 year"
"89473",6800,6800,"15.80%","36 months","debt_consolidation","15.43%","NC","RENT",2708.33,"680-684",5,2964,0,"1 year"
"97353",3000,3000,"19.05%","36 months","other","28.74%","CA","MORTGAGE",7116.25,"660-664",7,7416,0,"10+ years"
"76770",5675,5675,"11.14%","36 months","debt_consolidation","29.40%","CA","RENT",2333.33,"705-709",6,9687,1,"5 years"
"11185",12000,12000,"17.93%","60 months","debt_consolidation","0.72%","KY","MORTGAGE",6500,"670-674",4,1549,1,"10+ years"
"91147",11100,11100,"15.31%","36 months","debt_consolidation","12.03%","WA","MORTGAGE",2666.67,"680-684",12,8990,0,"10+ years"
"77149",16000,16000,"19.05%","60 months","debt_consolidation","17.82%","NY","RENT",6666.67,"690-694",16,11232,2,"5 years"
"29794",4800,4800,"10.59%","36 months","debt_consolidation","20.21%","IL","RENT",2666.67,"710-714",5,3831,1,"6 years"
"68987",6200,6200,"15.31%","36 months","credit_card","20.52%","CA","RENT",1940,"665-669",5,16850,0,"n/a"
"68857",6000,6000,"10.16%","36 months","credit_card","15.88%","CA","OWN",5166.67,"710-714",13,8862,3,"7 years"
"17655",2250,2250,"10.36%","36 months","car","17.97%","GA","OWN",5833.33,"680-684",12,14637,0,"2 years"
"11779",24000,14860.05,"13.61%","60 months","debt_consolidation","10.77%","OH","MORTGAGE",7750,"715-719",11,2594,2,"5 years"
"60117",10000,10000,"12.12%","36 months","debt_consolidation","5.84%","PA","RENT",4333.33,"695-699",6,4665,0,"1 year"
"101061",10000,10000,"14.09%","36 months","debt_consolidation","17.15%","AZ","MORTGAGE",10416.67,"670-674",12,12492,4,"10+ years"
"95951",12000,12000,"13.11%","36 months","credit_card","6.10%","IL","MORTGAGE",4833.33,"665-669",9,12025,0,"9 years"
"99334",12000,12000,"13.11%","36 months","debt_consolidation","18.32%","NC","RENT",3916.67,"690-694",14,12134,0,"8 years"
"3079",20800,13796.59,"12.21%","36 months","credit_card","16.94%","TX","MORTGAGE",5833.33,"750-754",11,14337,0,"10+ years"
"33181",8000,8000,"12.69%","36 months","debt_consolidation","17.10%","SC","MORTGAGE",7083,"695-699",11,9345,3,"4 years"
"77578",10000,10000,"10.16%","36 months","debt_consolidation","11.98%","CA","RENT",4166.67,"705-709",9,10979,0,"4 years"
"34744",6000,6000,"14.27%","36 months","debt_consolidation","7.64%","IL","MORTGAGE",5184.75,"675-679",8,14422,0,"2 years"
"81395",4500,4500,"12.12%","36 months","debt_consolidation","14.32%","AZ","RENT",1250,"675-679",8,6265,0,"5 years"
"27061",3600,3600,"7.49%","36 months","medical","15.72%","TX","RENT",2500,"740-744",8,650,0,"< 1 year"
"70210",11200,11200,"15.80%","36 months","debt_consolidation","12.15%","FL","RENT",2666.67,"675-679",9,5666,1,"10+ years"
"10441",4000,3925,"11.49%","36 months","other","13.98%","VA","MORTGAGE",4700,"695-699",7,19310,3,"n/a"
"24517",6000,6000,"13.49%","60 months","debt_consolidation","14.34%","KY","RENT",3458,"690-694",6,2072,0,"10+ years"
"76286",17000,17000,"13.11%","36 months","debt_consolidation","15.33%","CO","MORTGAGE",10666.67,"720-724",18,26539,1,"10+ years"
"94792",8000,8000,"13.11%","36 months","debt_consolidation","6.74%","UT","MORTGAGE",4583.33,"665-669",13,9085,1,"10+ years"
"4921",2800,2800,"7.40%","36 months","educational","7.96%","MD","MORTGAGE",4158,"805-809",12,562,0,"8 years"
"56382",12375,12375,"6.03%","36 months","debt_consolidation","19.24%","PA","MORTGAGE",6750,"790-794",11,8135,0,"1 year"
"96461",18825,18825,"17.27%","60 months","credit_card","33.15%","MI","MORTGAGE",3583.33,"690-694",12,13426,0,"8 years"
"82091",9600,9600,"11.14%","36 months","debt_consolidation","23.62%","CO","MORTGAGE",4389.92,"715-719",10,2195,1,"8 years"
"72589",14400,14400,"13.11%","36 months","credit_card","10.75%","CA","RENT",5000,"680-684",13,19772,0,"8 years"
"14073",6000,6000,"17.56%","60 months","vacation","14.88%","NJ","OWN",4416.67,"660-664",9,28349,3,"10+ years"
"48356",9000,9000,"6.03%","36 months","major_purchase","9.29%","NY","MORTGAGE",14166.67,"770-774",13,40909,0,"4 years"
"14728",20000,19850,"11.86%","60 months","wedding","15.94%","NJ","RENT",4166.67,"735-739",11,3202,0,"3 years"
"20698",15000,15000,"13.06%","36 months","house","22.69%","FL","MORTGAGE",3750,"685-689",12,21016,0,"10+ years"
"94912",20000,20000,"11.14%","60 months","debt_consolidation","23.27%","WA","MORTGAGE",9166.67,"735-739",24,53494,2,"10+ years"
"25018",13750,13750,"19.69%","60 months","medical","22.01%","FL","MORTGAGE",2916.67,"665-669",7,4690,2,"2 years"
"103622",6000,6000,"17.19%","60 months","home_improvement","17.80%","VA","MORTGAGE",13625,"675-679",10,26688,4,"10+ years"
"49201",20000,20000,"7.90%","36 months","debt_consolidation","10.32%","AR","MORTGAGE",10400,"735-739",14,15626,0,"2 years"
"25680",12800,12800,"11.49%","60 months","home_improvement","20.04%","NC","MORTGAGE",3333.33,"720-724",13,24723,0,"5 years"
"71671",6000,6000,"6.03%","36 months","debt_consolidation","7.77%","NY","MORTGAGE",3666.67,"780-784",19,6275,1,"4 years"
"39314",12000,12000,"7.51%","36 months","debt_consolidation","13.30%","CA","RENT",7166.67,"735-739",16,13715,1,"4 years"
"96016",12500,12500,"13.11%","36 months","credit_card","27.76%","PA","RENT",3416.67,"690-694",12,14174,0,"6 years"
"37380",5000,5000,"17.58%","36 months","other","5.33%","AZ","RENT",1800,"665-669",2,1749,0,"< 1 year"
"72539",4950,4950,"14.33%","36 months","debt_consolidation","8.95%","FL","OWN",2916.67,"675-679",11,7931,2,"6 years"
"63746",30000,30000,"13.11%","60 months","other","16.32%","CA","RENT",20416.67,"755-759",6,0,0,"2 years"
"90871",10000,10000,"12.12%","36 months","debt_consolidation","13.81%","IL","MORTGAGE",6083.33,"670-674",13,19263,1,"8 years"
"46022",6000,6000,"14.65%","36 months","debt_consolidation","11.89%","TX","MORTGAGE",14333.33,"670-674",11,31640,1,"10+ years"
"46841",24000,24000,"7.90%","36 months","debt_consolidation","20.87%","TX","MORTGAGE",10166.67,"750-754",15,29523,1,"2 years"
"20801",14000,14000,"10.00%","60 months","debt_consolidation","10.40%","NJ","MORTGAGE",11333.33,"745-749",6,27477,0,"4 years"
"24542",6000,6000,"7.49%","36 months","credit_card","19.33%","IL","RENT",2100,"715-719",8,2376,0,"2 years"
"76320",22400,22400,"13.11%","36 months","debt_consolidation","16.08%","PA","RENT",7375,"690-694",8,9673,0,"10+ years"
"43622",8000,8000,"7.90%","36 months","vacation","0%","NY","RENT",7300,"795-799",2,0,0,"10+ years"
"63810",24575,24550,"20.49%","36 months","credit_card","19.28%","CO","MORTGAGE",5166.67,"665-669",8,23157,0,"10+ years"
"104166",8000,8000,"14.83%","60 months","credit_card","6.29%","NJ","MORTGAGE",4833.33,"675-679",8,9676,4,"6 years"
"93723",10000,10000,"14.33%","36 months","debt_consolidation","12.69%","FL","MORTGAGE",7916.67,"670-674",11,8271,3,"6 years"
"38826",29000,27884.92,"10.65%","60 months","debt_consolidation","3.90%","NH","MORTGAGE",15000,"745-749",12,55964,0,"10+ years"
"61123",5400,5400,"6.03%","36 months","credit_card","4.16%","SD","OWN",2333.33,"805-809",9,4224,0,"6 years"
"75477",12375,12375,"6.62%","36 months","debt_consolidation","31%","PA","MORTGAGE",3500,"735-739",16,14037,0,"2 years"
"54656",30000,30000,"16.29%","60 months","debt_consolidation","21.20%","GA","MORTGAGE",6666.67,"720-724",14,32854,2,"10+ years"
"34996",5000,5000,"6.03%","36 months","major_purchase","2.92%","NY","RENT",3033,"770-774",7,3663,0,"8 years"
"38741",6200,6200,"18.64%","60 months","credit_card","10.61%","WA","MORTGAGE",4250,"670-674",9,5936,3,"9 years"
"29942",7000,7000,"7.49%","36 months","major_purchase","7.26%","PA","OWN",6280,"750-754",14,353,0,"4 years"
"73179",29175,29175,"21.00%","60 months","credit_card","8.83%","MA","RENT",12500,"695-699",9,15308,2,"4 years"
"29754",35000,33645.15,"17.49%","60 months","debt_consolidation","6.01%","NY","MORTGAGE",16133.33,"725-729",11,32222,0,"2 years"
"24598",6000,6000,"16.89%","60 months","debt_consolidation","9.04%","NY","RENT",2400,"680-684",7,7261,2,"2 years"
"40139",35000,35000,"12.42%","60 months","debt_consolidation","12.79%","OK","MORTGAGE",12083.33,"730-734",15,18385,0,"< 1 year"
